id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,close_approach_date,relative_velocity_kps,miss_distance_km
3427459,(2008 SS),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3427459,22.18,97.3991073414,217.7910249632,False,2025-10-03,14.5278596145,17860588.568532283
3716631,(2015 HN9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3716631,22.6,80.2703167283,179.4898847799,False,2025-10-03,7.7084299078,12307670.348249437
3720000,(2015 KT120),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3720000,25.1,25.3837029364,56.7596852866,False,2025-10-03,11.569203976,39827549.38855575
54201807,(2021 SY3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54201807,27.0,10.5816885933,23.6613750114,False,2025-10-03,5.9294008854,7782741.82159392
54212590,(2021 UJ1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54212590,26.33,14.4063836669,32.2136531891,False,2025-10-03,22.1261472346,66740907.725807328
54265626,(2022 FL1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54265626,29.24,3.7718548926,8.4341239412,False,2025-10-03,7.6817966076,71679427.628638257
54300842,(2022 QG41),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54300842,21.96,107.7841687222,241.0127281611,False,2025-10-03,11.9542124902,16201986.272634791
54309253,(2022 SK21),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54309253,25.6,20.1629919443,45.0858206172,False,2025-10-03,2.376499605,21283967.780194912
54324411,(2022 VV),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54324411,23.69,48.5909037451,108.6525638621,False,2025-10-03,9.0730597852,30486923.428302029
54383301,(2023 RV12),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54383301,26.2,15.2951935344,34.201092472,False,2025-10-03,13.598403206,28643357.009475281
54385247,(2023 SV1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54385247,24.13,39.6784754066,88.7237682527,False,2025-10-03,31.8007142527,59952516.85623488
54417174,(2023 XJ16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54417174,19.92,275.7750529244,616.6517648376,False,2025-10-03,26.1780296583,71944436.919310756
54486931,(2024 TW),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54486931,28.95,4.3107712388,9.6391775254,False,2025-10-03,11.8351736661,7983747.398922211
54542743,(2025 QK10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542743,24.12,39.8616229277,89.1332985597,False,2025-10-03,11.8906355112,12572284.43126897
54544998,(2025 RH2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544998,24.9,27.8326768072,62.2357573367,False,2025-10-03,5.0764958157,7514832.23213637
54546468,(2025 SV2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546468,24.754,29.768364625,66.5640868805,False,2025-10-03,7.2831111038,17635842.871379869
54547367,(2025 SV6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547367,27.19,9.6951599093,21.6790366099,False,2025-10-03,4.9706195643,1792229.695687772
54549686,(2025 SE29),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549686,22.626,79.3149357214,177.3535879041,False,2025-10-03,8.6457557099,4754758.890851574
54549682,(2025 TC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549682,27.03,10.4365023829,23.3367287756,False,2025-10-03,16.1451012843,85671.453875221
54550514,(2025 TS),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550514,27.353,8.9940433527,20.1112923293,False,2025-10-03,9.1488496108,647814.666864232
